category,count,mean_score,std_score,min_score,max_score,model
工作原理,5,0.8444444444444444,0.3111111111111111,0.22222222222222227,1.0,普通模型
数量相关,5,0.6,0.44914885492178536,0.0,1.0,普通模型
其他,31,0.5018193178482595,0.29739404648477963,0.0,1.0,普通模型
功能作用,67,0.48985892697572947,0.3422738733358875,0.0,1.0,普通模型
部件识别,355,0.4800009601231272,0.35014786721585633,0.0,1.0,普通模型
指定页面,368,0.4713536589416057,0.354218216940299,0.0,1.0,普通模型
位置关系,176,0.4486768162305529,0.3170089576112773,0.0,1.0,普通模型
连接关系,66,0.379898999880435,0.3578098788890372,0.0,1.0,普通模型
工作原理,5,0.6973856209150326,0.3708688174830565,0.22222222222222227,1.0,COT模型
其他,31,0.4995645877356302,0.2969646174340157,0.0,1.0,COT模型
功能作用,67,0.47557529330037973,0.3377563730582262,0.0,1.0,COT模型
数量相关,5,0.4514285714285714,0.41372868956772696,0.0,1.0,COT模型
部件识别,355,0.42380719696649527,0.3374617684482479,0.0,1.0,COT模型
指定页面,368,0.414608386045741,0.33827843176596256,0.0,1.0,COT模型
位置关系,176,0.3718620421966074,0.28123844675590365,0.0,1.0,COT模型
连接关系,66,0.36002283133949664,0.3363487754884485,0.0,1.0,COT模型
